,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_uid,E_target,E_comid
634,24,51,3.1176470588235294,9,0.7654295218641467,1,17,12.777777777777779,345.0,27.0,8.252427770211874,1.1875421719907087,12.0,27.0,0.4444444444444444,27.0,92.17677801137553,2873.0,106.4074074074074,24_219,1,24
635,6,9,2.6666666666666665,3,0.49999999999999994,0,0,11.5,69.0,6.0,5.128352561983234,1.602081978759722,5.0,6.0,0.8333333333333334,6.0,39.4715087119811,366.0,61.0,24_220,0,24
636,12,61,3.1311475409836067,10,1.0719982872508949,7,32,8.38,419.0,50.0,5.074506108469864,0.6468132241526725,15.0,50.0,0.3,50.0,67.31103557518693,4040.0,80.8,24_221,1,24
637,16,29,2.9655172413793105,4,0.8230066229854003,2,7,15.666666666666666,47.0,3.0,5.8594652770823155,0.0,0.0,3.0,0.0,3.0,49.54122862155654,295.0,98.33333333333333,24_237,1,24
638,11,17,2.5294117647058822,4,0.7174300539794392,2,0,,,,,,,,,,,,,24_238,1,24
639,49,53,2.9622641509433962,3,0.2747211278973778,0,1,15.333333333333334,92.0,6.0,5.715476066494082,2.3166067138525404,11.0,6.0,1.8333333333333333,6.0,65.03127452746614,632.0,105.33333333333333,24_240,1,24
640,43,62,2.7419354838709675,13,0.6255616196920404,3,3,,,,,,,,,,,,,24_241,1,24
641,13,17,2.8823529411764706,3,0.48507125007266605,0,1,,,,,,,,,,,,,24_242,1,24
642,29,41,2.8536585365853657,9,0.5273033097637497,0,3,9.454545454545455,104.0,11.0,9.245146146639721,1.6011359603844901,9.0,11.0,0.8181818181818182,11.0,40.464350190799266,735.0,66.81818181818181,24_243,0,24
643,11,17,2.6470588235294117,6,0.49259218307188907,0,0,14.333333333333334,172.0,12.0,3.366501646120693,0.7929614610987591,5.0,12.0,0.4166666666666667,12.0,35.4593236873412,882.0,73.5,24_248,1,24
