,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
11_116,0.3712871287128713,0.05302445302445302,0.4214876033057851,0.04918032786885246,0.06975620140942042,0.3569965686290314,0.04719395948341663,0.18866735265484755,0.0,0.0,0.0,0.0,0.3712871287128713,0.307247173092689,0.4214876033057851,0.3424351719123375,0.06975620140942042,0.01745044913524053,0.04719395948341663,1.8361558964442038e-07,0.0,0.0,0.0,0.0
11_12,0.35148514851485146,0.043243243243243246,0.4380165289256198,0.04119377889869693,0.08722493240134219,0.4869246608933749,0.11844157726802114,0.34556620860492515,0.0,0.0,0.0,0.0,0.35148514851485146,0.25893086929077025,0.4380165289256198,0.3323629023897731,0.08722493240134219,0.3074270962218529,0.11844157726802114,0.0005290307581561928,0.0,0.0,0.0,0.0
11_122,0.3564356435643564,0.039897039897039896,0.47107438016528924,0.047078604455653636,0.02515318155068992,0.24610186263108627,0.10945171257020322,0.37246262725749746,0.0,0.0,0.0,0.0,0.3564356435643564,0.3224033036213397,0.47107438016528924,0.42449777829541424,0.02515318155068992,0.017213232282171902,0.10945171257020322,2.775593082969073e-07,0.0,0.0,0.0,0.7741761940877704
11_124,0.7772277227722773,0.2815958815958816,0.8429752066115702,0.26229508196721313,0.3339475119422629,0.6108944959643388,0.3201516394112048,0.25698654831949735,0.0,0.0,0.0,0.0,0.7772277227722773,0.5580870620828361,0.8429752066115702,0.5988216822116064,0.3339475119422629,0.1534522749614033,0.3201516394112048,0.0005494270456959252,0.0,0.0,0.0,0.7282101327585302
11_126,0.18316831683168316,0.014671814671814672,0.2644628099173554,0.021437578814627996,0.0005762801073698173,0.12618673999220448,0.007963340331121517,0.11097885728567759,0.0,0.0,0.0,0.0,0.18316831683168316,0.19797900094444737,0.2644628099173554,0.2955705292211044,0.0005762801073698173,0.0,0.007963340331121517,0.0,0.0,0.8313652099426955,0.0,0.0
11_13,0.504950495049505,0.09523809523809523,0.6033057851239669,0.10508617065994115,0.07917112788306072,0.4625884040760106,0.1170268376667845,0.2621597949099636,0.0,0.0,0.0,0.0,0.504950495049505,0.4105576438236208,0.6033057851239669,0.4803057752934367,0.07917112788306072,0.013519137659994102,0.1170268376667845,4.193316752839316e-05,0.0,0.0,0.0,0.0
11_131,0.3415841584158416,0.03346203346203346,0.4132231404958678,0.03825136612021858,0.02211305991604919,0.29188905715012065,0.04256978615417517,0.22614898372172113,0.0,0.0,0.0,0.0,0.3415841584158416,0.2801429051062468,0.4132231404958678,0.32888818932303693,0.02211305991604919,0.0076828715425435986,0.04256978615417517,4.229770830338661e-08,0.0,0.23471036135239987,0.0,0.0
11_135,0.5247524752475248,0.08030888030888031,0.628099173553719,0.10046237915090374,0.10092542358473716,0.31074954469643,0.13724743834120381,0.20919085546259297,0.0,0.0,0.0,0.0,0.5247524752475248,0.43578277657012604,0.628099173553719,0.5197442197158639,0.10092542358473716,0.013032911900938483,0.13724743834120381,3.873163090135703e-06,0.0,0.0,0.0,0.0
11_137,0.07920792079207921,0.006435006435006435,0.1322314049586777,0.010508617065994116,0.0,0.0,0.0018163950269883826,0.013495219683924926,0.0,0.0,0.0,0.0,0.07920792079207921,0.023830805669239032,0.1322314049586777,0.04002517583202456,0.0,0.0,0.0018163950269883826,4.711879557196806e-06,0.0,0.0,0.0,0.0
11_139,0.5594059405940595,0.09317889317889318,0.6776859504132231,0.10298444724674233,0.23096027851010872,0.6984482140613414,0.3945434917505725,0.6813539040268083,0.0,0.0,0.0,0.0,0.5594059405940595,0.4354530191167455,0.6776859504132231,0.5418419840607595,0.23096027851010872,0.012533782390971736,0.3945434917505725,0.012222673077002828,0.0,0.0,0.0,0.0
11_140,0.400990099009901,0.04221364221364221,0.5041322314049587,0.05128205128205128,0.07044969844524471,0.41880785347757954,0.08427131663972434,0.30708313299646,0.0,0.0,0.0,0.0,0.400990099009901,0.2950437055741556,0.5041322314049587,0.3702328764462271,0.07044969844524471,0.09057510576584386,0.08427131663972434,1.8230906699134476e-06,0.0,0.0,0.0,0.0
11_151,0.40594059405940597,0.06332046332046332,0.5206611570247934,0.07818411097099622,0.05346298449885134,0.43467583434749735,0.06480738309613301,0.23714599085807953,0.0,0.0,0.0,0.0,0.40594059405940597,0.279772779368582,0.5206611570247934,0.38245080741817394,0.05346298449885134,0.09127468816702751,0.06480738309613301,0.18327214149294893,0.0,0.0,0.0,0.0
11_152,0.9702970297029703,0.49935649935649934,1.0,0.582177385456074,1.0,0.8282731934108247,0.796495608799204,0.23715050452275446,0.0,0.0,0.0,0.0,0.9702970297029703,0.7678496931808743,1.0,0.7635094210483222,1.0,0.04048152794355542,0.796495608799204,4.2119574462704934e-07,0.0,0.0,0.0,0.0
