,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
11_116,0.3904761904761905,0.08336276933945602,0.4230769230769231,0.0986267166042447,0.030629600405191658,0.21393127271350978,0.029810954757924186,0.14071639804472627,0.0,0.7315667511217181,0.0,0.0,0.3904761904761905,0.35664790273438157,0.4230769230769231,0.3652559319362004,0.030629600405191658,0.0009209308764800711,0.029810954757924186,2.627420228174662e-08,0.0,0.0,0.0,0.0
11_119,0.5238095238095238,0.16072059342988343,0.6076923076923076,0.23720349563046192,0.06455114681652516,0.29132282123027176,0.10164891266589778,0.22756020166677826,0.0,0.0,0.0,0.0,0.5238095238095238,0.5185606420900224,0.6076923076923076,0.5993411490482906,0.06455114681652516,0.0034910515046951106,0.10164891266589778,1.939307491095384e-09,0.0,0.0,0.0,0.0
11_12,0.3476190476190476,0.06358177322500883,0.4230769230769231,0.08801498127340825,0.040113299423720425,0.2377571119621588,0.08964035329609885,0.2329666689760993,0.0,0.0,0.0,0.0,0.3476190476190476,0.2811436183925175,0.4230769230769231,0.35263830033939253,0.040113299423720425,0.0025935090156526687,0.08964035329609885,6.967012800171914e-10,0.0,0.0,0.0,0.1664841529218975
11_122,0.3761904761904762,0.06711409395973154,0.43846153846153846,0.07865168539325842,0.039726286071855556,0.24475515230040576,0.06367316677683818,0.2625258798673474,0.0,0.0,0.0,0.0,0.3761904761904762,0.36911794157500055,0.43846153846153846,0.43559906219511785,0.039726286071855556,0.0002666883821393569,0.06367316677683818,3.2087614989716544e-11,0.0,0.0,0.0,0.0
11_124,0.861904761904762,0.4553161427057577,0.8846153846153846,0.47253433208489387,0.41778577915724385,0.7195235781744377,0.5340996598287224,0.686747316917222,0.0,0.0,0.0,0.0,0.861904761904762,0.6553921906144676,0.8846153846153846,0.6991831348163544,0.41778577915724385,0.23690896737165215,0.5340996598287224,1.3635087935177954e-05,0.0,0.0,0.0,0.0
11_126,0.20476190476190476,0.024373013069586717,0.2923076923076923,0.033083645443196,0.00016805134861603449,0.10233852954764885,0.0044803207369498695,0.11389911580734965,0.0,0.0,0.0,0.0,0.20476190476190476,0.23716766086688756,0.2923076923076923,0.3422682051074267,0.00016805134861603449,0.0,0.0044803207369498695,0.0,0.0,0.6124351974143525,0.0,0.0
11_13,0.5761904761904761,0.16884493111974566,0.676923076923077,0.2034956304619226,0.1390764411494947,0.40495229404352323,0.20988528818838129,0.39492733444447664,0.0,0.0,0.0,0.0,0.5761904761904761,0.5025883832392642,0.676923076923077,0.5887506455502407,0.1390764411494947,0.003293850957184919,0.20988528818838129,0.01326932029473405,0.0,0.0,0.0,0.7399678715890534
11_131,0.35714285714285715,0.05333804309431296,0.4153846153846154,0.066167290886392,0.012359608469137797,0.17948235902117385,0.026611152286398904,0.1384424991996938,0.0,0.0,0.0,0.0,0.35714285714285715,0.31089937584387234,0.4153846153846154,0.3559016683610624,0.012359608469137797,0.001461889631365482,0.026611152286398904,2.5723485152671055e-09,0.0,0.0,0.0,0.0
11_135,0.5952380952380952,0.13352172377251856,0.6615384615384615,0.14294631710362046,0.09335108705928892,0.2926349259490735,0.11974716624392374,0.2470130185460654,0.0,0.0,0.0,0.0,0.5952380952380952,0.5597119313766317,0.6615384615384615,0.6359493020766949,0.09335108705928892,0.0011717290182180948,0.11974716624392374,1.5107701793480485e-06,0.0,0.0,0.0,0.0
11_139,0.6619047619047619,0.16601907453196751,0.7461538461538462,0.19225967540574282,0.19697918939580394,0.5356593981439248,0.2508210572092048,0.5231891502611273,0.0,0.0,0.0,0.0,0.6619047619047619,0.6103660967751346,0.7461538461538462,0.7124325170133669,0.19697918939580394,0.0036847381861267003,0.2508210572092048,1.1216606673968125e-09,0.0,0.0,0.0,0.8709172508776356
