uid,votes_2,votes_num,votes_3,votes_1,votes_mean,votes_4,votes_std,likes_num,likes_mean,likes_std,likes_sum,dislikes_num,dislikes_std,dislikes_sum,dislikes_mean,com_std,com_num,com_mean,com_sum
0_272,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
0_272,218.0,1408.0,632.0,91.0,3.047585227272727,467.0,0.8621438171551985,396.0,4.093434343434343,2.967137703260281,1621.0,396.0,1.1265756699213862,266.0,0.6717171717171717,45.454490840745926,390.0,52.30769230769231,20400.0
3_4,44.0,207.0,100.0,22.0,2.7729468599033815,41.0,0.8876950145798934,80.0,0.4,0.7729607715986496,32.0,80.0,0.37123638789348573,13.0,0.1625,24.689207399698283,80.0,26.25,2100.0
3_5,44.0,207.0,100.0,22.0,2.7729468599033815,41.0,0.8876950145798934,80.0,0.4,0.7729607715986496,32.0,80.0,0.37123638789348573,13.0,0.1625,24.689207399698283,80.0,26.25,2100.0
3_12,44.0,207.0,100.0,22.0,2.7729468599033815,41.0,0.8876950145798934,80.0,0.4,0.7729607715986496,32.0,80.0,0.37123638789348573,13.0,0.1625,24.689207399698283,80.0,26.25,2100.0
3_19,44.0,207.0,100.0,22.0,2.7729468599033815,41.0,0.8876950145798934,80.0,0.4,0.7729607715986496,32.0,80.0,0.37123638789348573,13.0,0.1625,24.689207399698283,80.0,26.25,2100.0
4_4,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_19,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_21,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_22,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_24,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_28,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_31,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_38,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_44,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_47,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_51,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_52,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_55,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_56,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_58,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_64,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_66,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_66,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_67,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
