uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
11_240,12,22,3.1363636363636362,2,0.7743171827921033,1,7,3.4285714285714284,24.0,7.0,2.29906813420444,1.133893419027682,4.0,7.0,0.5714285714285714,7.0,24.08813183370797,583.0,83.28571428571429,11
11_242,2,82,3.975609756097561,0,0.15520673239323948,0,80,4.0,28.0,7.0,2.516611478423583,0.7867957924694431,4.0,7.0,0.5714285714285714,7.0,69.83654385164589,421.0,60.142857142857146,11
11_244,3,20,3.3,1,1.1285761872936695,3,13,5.4,54.0,10.0,2.0110804171997807,0.4830458915396479,3.0,10.0,0.3,10.0,27.780888714686178,440.0,44.0,11
11_245,0,153,4.0,0,0.0,0,153,5.4423076923076925,283.0,52.0,2.8793617316864606,1.8998293167758105,42.0,52.0,0.8076923076923077,52.0,49.65743888686179,4028.0,77.46153846153847,11
11_246,1,90,3.933333333333333,1,0.3909079031741947,1,87,8.055555555555555,145.0,18.0,6.734216599027268,1.1504474832710556,15.0,18.0,0.8333333333333334,18.0,62.81740319203628,1702.0,94.55555555555556,11
11_254,11,37,3.27027027027027,8,0.8044545649986373,0,18,10.31578947368421,196.0,19.0,5.385707748589444,3.369974057199674,83.0,19.0,4.368421052631579,19.0,102.568875732387,2840.0,149.47368421052633,11
11_255,1,64,3.984375,0,0.125,0,63,5.754716981132075,305.0,53.0,2.4091624811680163,0.7968552122674808,30.0,53.0,0.5660377358490566,53.0,20.52365975110434,1051.0,19.830188679245282,11
11_256,13,45,3.0,7,1.0660035817780522,6,19,3.52,88.0,25.0,2.7706798203088474,2.2449944320643644,26.0,25.0,1.04,25.0,20.426698215815495,865.0,34.6,11
11_259,4,24,3.8333333333333335,0,0.3806934938134404,0,20,3.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,62.0,62.0,11
11_26,96,202,2.3267326732673266,67,0.7804694452997814,36,3,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,11
