,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
11_249,0.1641025641025641,0.04693140794223827,0.23333333333333334,0.08914285714285715,0.005172139282523712,0.020324122634024003,0.00830645708401132,0.03927496811834246,0.05291051613788255,0.3784781967054494,0.09392882978654851,0.0,0.1641025641025641,0.17742242817669485,0.23333333333333334,0.24786039437243093,0.005172139282523712,0.0,0.00830645708401132,3.741286319864635e-17,0.11505369640320119,0.0,0.008302424611520203,0.48533462088091717
11_255,0.18461538461538463,0.13408973697782361,0.3,0.29714285714285715,0.0015702614943801847,0.015336744089505623,0.021196368284569445,0.050110547600911326,0.004865657322388275,0.6351179604617401,0.12477471313529089,0.06954216358283478,0.18461538461538463,0.17842737871752407,0.3,0.28996053251751475,0.0015702614943801847,0.00026696810430220866,0.021196368284569445,1.1274053593444942e-08,0.10789870259440987,0.08241223345367224,0.0,0.782059941510823
11_259,0.05641025641025641,0.007220216606498195,0.08333333333333333,0.014857142857142857,0.0001141987145649209,0.009085246412234385,0.000378879715011238,0.009651138570166903,0.009156653656565648,0.00455162769452819,0.12250169107798965,0.003586445773284034,0.05641025641025641,0.04980278685661609,0.08333333333333333,0.07081725553498026,0.0001141987145649209,0.0,0.000378879715011238,1.453180440406466e-17,0.19178873072833574,0.0,0.0,0.024152728144173255
11_26,0.1282051282051282,0.019597730789066528,0.2,0.04228571428571429,5.746774023266987e-05,0.03542949699973334,0.005456228063659981,0.060254346421368926,0.35001653812667877,0.7439086330388234,0.0,0.024478483663210624,0.1282051282051282,0.12361763166195781,0.2,0.1907730149105591,5.746774023266987e-05,0.0,0.005456228063659981,4.746032460626455e-11,0.0,0.0,0.5917789792840609,0.8159823999431906
11_266,0.20512820512820512,0.02784940691077875,0.30833333333333335,0.05714285714285714,0.006564973129972149,0.13378998429383054,0.014241656580543608,0.1678973617040977,0.2502825217256964,0.2725175933421898,0.17237020518263013,0.1091807096416879,0.20512820512820512,0.17555482366957173,0.30833333333333335,0.2549421199259289,0.006564973129972149,0.0004452791002289829,0.014241656580543608,2.282836295588543e-06,0.3619651633718017,0.2879757424881013,0.3554552898050416,0.30834090569321193
11_269,0.2358974358974359,0.07993811242908716,0.3416666666666667,0.13142857142857142,0.010416228011492824,0.1316041469298031,0.03542330245544694,0.1711187673939944,0.022001099708895147,0.2637035413671715,0.14593163199857995,1.3885046161626133,0.2358974358974359,0.22791377629098764,0.3416666666666667,0.3206396864243976,0.010416228011492824,0.00013252303057695677,0.03542330245544694,8.707546828187169e-11,0.10875872162863322,0.536935998630431,0.09058732676343939,0.1174445167435384
11_271,0.4307692307692308,0.08767405879319237,0.49166666666666664,0.13142857142857142,0.058601964729826456,0.4683429277270634,0.057944131501507415,0.2932136253597382,0.2699500162442386,0.3966931270723435,0.6342142378253438,0.8341932654091063,0.4307692307692308,0.42104106055030854,0.49166666666666664,0.48105150009833025,0.058601964729826456,0.012430385252618704,0.057944131501507415,4.1185232913061965e-10,0.5078754235489061,0.5637973305124857,0.3590703652754585,0.4540124773313241
11_272,0.6256410256410256,0.25425477050025785,0.7333333333333333,0.3954285714285714,0.2016885436337167,0.43025571026426024,0.24372700192860916,0.36230087976128345,0.7099393517176854,0.5724869423530673,2.944565655031179,0.334748575411269,0.6256410256410256,0.46756187789281983,0.7333333333333333,0.5488958352811039,0.2016885436337167,0.0021383993813346392,0.24372700192860916,3.161903102638498e-05,0.4528545539171731,0.4503472606059232,0.5220452977555012,0.7424893135629723
11_273,0.4461538461538462,0.259927797833935,0.5833333333333334,0.49142857142857144,0.08856472715660715,0.4478702911132361,0.12829909442215232,0.27317669414259915,0.08520895953078486,0.6228283824589105,0.6715697299832492,0.6442275885022305,0.4461538461538462,0.46059720808064925,0.5833333333333334,0.5806075340178924,0.08856472715660715,0.0,0.12829909442215232,7.11857666606724e-08,0.6052898649848061,0.6740587198867906,0.15448871560009952,0.2818402177897227
11_274,0.358974358974359,0.24239298607529655,0.43333333333333335,0.4502857142857143,0.03594589032979705,0.21924468309816214,0.05740916915696841,0.08890994604032236,0.0,0.4840565262126816,7.718081730152534,0.0,0.358974358974359,0.35834945772926646,0.43333333333333335,0.44335717236892674,0.03594589032979705,0.05548043962048866,0.05740916915696841,1.6191384714455267e-05,0.8933329200231416,0.015159005129466014,0.12736587095116367,0.8065057481335464
