,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_uid,E_target,E_comid
77,6,71,3.3943661971830985,11,0.9925274122077953,5,49,3.8095238095238093,160.0,42.0,2.7251144101119436,1.9620380974728704,77.0,42.0,1.8333333333333333,42.0,43.57593129949015,2114.0,50.333333333333336,11_223,1,11
78,39,82,2.7439024390243905,26,0.782698333793022,4,13,9.625,77.0,8.0,7.945124291035352,1.164964745021435,6.0,8.0,0.75,8.0,32.993505854507625,664.0,83.0,11_225,1,11
79,30,69,3.5652173913043477,0,0.4993602044724249,0,39,,,,,,,,,,,,,11_226,1,11
80,13,16,3.1875,0,0.4031128874149275,0,3,8.25,33.0,4.0,5.057996968497839,0.5773502691896257,6.0,4.0,1.5,4.0,91.79687721631203,464.0,116.0,11_227,0,11
81,34,49,3.2653061224489797,1,0.4905570899532505,0,14,5.166666666666667,31.0,6.0,3.4302575219167823,0.816496580927726,4.0,6.0,0.6666666666666666,6.0,45.12501154201145,416.0,69.33333333333333,11_23,1,11
82,5,13,3.3846153846153846,0,0.869718492622904,1,7,6.0,6.0,1.0,,,0.0,1.0,0.0,1.0,,32.0,32.0,11_230,1,11
83,13,68,2.7205882352941178,22,1.0906055860562691,10,23,5.285714285714286,148.0,28.0,4.437693285156343,3.3380918415851206,100.0,28.0,3.5714285714285716,28.0,117.92130368357475,1758.0,62.785714285714285,11_232,1,11
84,3,45,3.8,3,0.5477225575051665,0,39,7.40625,237.0,32.0,7.356626922538573,3.2021917897066245,62.0,32.0,1.9375,32.0,81.07572500745134,3609.0,112.78125,11_236,1,11
85,9,27,3.4074074074074074,2,0.7970744227031973,1,15,5.285714285714286,74.0,14.0,5.120525385131903,1.65748386032949,16.0,14.0,1.1428571428571428,14.0,75.92911674206917,1134.0,81.0,11_237,1,11
86,107,278,3.3884892086330933,24,0.7211181787203547,5,142,5.131147540983607,313.0,61.0,4.391185906016983,1.676256563170975,56.0,61.0,0.9180327868852459,61.0,31.875740642847102,2461.0,40.34426229508197,11_24,1,11
87,7,16,3.3125,2,0.704154339142587,0,7,3.4285714285714284,24.0,7.0,2.29906813420444,1.133893419027682,4.0,7.0,0.5714285714285714,7.0,24.08813183370797,583.0,83.28571428571429,11_240,1,11
88,2,48,3.9583333333333335,0,0.20194093652345893,0,46,3.0,12.0,4.0,1.632993161855452,0.9574271077563381,3.0,4.0,0.75,4.0,24.44722206441187,114.0,28.5,11_242,1,11
89,0,118,4.0,0,0.0,0,118,5.551724137931035,161.0,29.0,3.1234848543682707,2.259626369568487,28.0,29.0,0.9655172413793104,29.0,56.642687865866236,2395.0,82.58620689655173,11_245,1,11
90,1,78,3.923076923076923,1,0.41931393468876754,1,75,6.5625,105.0,16.0,3.285701345730213,1.2041594578792296,14.0,16.0,0.875,16.0,63.0739975478538,1537.0,96.0625,11_246,1,11
91,2,22,3.909090909090909,0,0.29424494316824984,0,20,3.35,67.0,20.0,1.5985190514644285,0.30779350562554625,2.0,20.0,0.1,20.0,27.288854482139197,991.0,49.55,11_249,1,11
92,4,31,3.6129032258064515,1,0.8436989729691788,2,24,4.357142857142857,61.0,14.0,3.4996075133152784,1.5118578920369088,12.0,14.0,0.8571428571428571,14.0,152.76903848908364,1287.0,91.92857142857143,11_250,1,11
93,11,32,3.28125,6,0.7718588789618592,0,15,10.11111111111111,182.0,18.0,5.465279594471964,3.4508689821588625,80.0,18.0,4.444444444444445,18.0,100.32491333310047,2559.0,142.16666666666666,11_254,1,11
94,1,46,3.9782608695652173,0,0.14744195615489694,0,45,6.055555555555555,218.0,36.0,2.0275875100994063,0.7862912744358594,25.0,36.0,0.6944444444444444,36.0,19.962564170315602,605.0,16.805555555555557,11_255,1,11
95,0,78,4.0,0,0.0,0,78,9.1,182.0,20.0,4.32739133768529,2.1490511982341367,25.0,20.0,1.25,20.0,118.2537303295,1849.0,92.45,11_257,1,11
96,3,17,3.823529411764706,0,0.39295262399668784,0,14,3.0,3.0,1.0,,,3.0,1.0,3.0,1.0,,62.0,62.0,11_259,0,11
97,84,179,2.3072625698324023,60,0.7792987291927581,33,2,2.0,2.0,1.0,,,0.0,1.0,0.0,1.0,,1.0,1.0,11_26,1,11
98,32,57,2.7719298245614037,16,0.7075496918351672,2,7,4.5,9.0,2.0,4.949747468305833,2.1213203435596424,7.0,2.0,3.5,2.0,4.949747468305833,65.0,32.5,11_263,1,11
99,33,40,3.125,1,0.40430377003131995,0,6,7.0,7.0,1.0,,,2.0,1.0,2.0,1.0,,83.0,83.0,11_266,1,11
100,0,43,4.0,0,0.0,0,43,6.444444444444445,116.0,18.0,2.5022865360499247,1.2833778958394957,18.0,18.0,1.0,18.0,24.867032011194087,709.0,39.388888888888886,11_269,1,11
101,3,75,3.3333333333333335,4,1.1778740965771284,13,55,6.777777777777778,61.0,9.0,5.380004130522991,1.5,15.0,9.0,1.6666666666666667,9.0,53.26140983655782,554.0,61.55555555555556,11_271,1,11
102,0,61,4.0,0,0.0,0,61,9.75,117.0,12.0,2.220769727328383,1.5447859516333116,21.0,12.0,1.75,12.0,33.42517650278641,542.0,45.166666666666664,11_272,1,11
103,14,66,3.757575757575758,1,0.46610022232285714,0,51,6.483870967741935,402.0,62.0,4.132009932398323,1.4580326929413756,50.0,62.0,0.8064516129032258,62.0,84.71014597618273,4853.0,78.2741935483871,11_273,1,11
104,0,88,4.0,0,0.0,0,88,6.833333333333333,41.0,6.0,2.857738033247041,2.8047578623950176,8.0,6.0,1.3333333333333333,6.0,23.86350072111522,254.0,42.333333333333336,11_274,1,11
105,0,91,4.0,0,0.0,0,91,7.333333333333333,132.0,18.0,3.9107694443752146,0.9002541398626662,16.0,18.0,0.8888888888888888,18.0,35.88020190702512,959.0,53.27777777777778,11_276,1,11
106,38,84,3.4047619047619047,6,0.623226111456466,0,40,3.6,36.0,10.0,3.835506630304674,0.31622776601683794,1.0,10.0,0.1,10.0,17.192052427405713,283.0,28.3,11_28,1,11
107,0,57,4.0,0,0.0,0,57,7.764705882352941,132.0,17.0,4.39501723211505,2.3215740096651976,25.0,17.0,1.4705882352941178,17.0,106.20765592211603,1075.0,63.23529411764706,11_280,1,11
108,0,59,4.0,0,0.0,0,59,6.5,13.0,2.0,0.7071067811865476,0.7071067811865476,3.0,2.0,1.5,2.0,13.435028842544403,37.0,18.5,11_282,1,11
109,1,12,3.75,1,0.621581560508061,0,10,6.888888888888889,62.0,9.0,3.7230513172814463,1.9220937657784658,11.0,9.0,1.2222222222222223,9.0,46.668452346788236,587.0,65.22222222222223,11_284,1,11
110,69,75,3.026666666666667,2,0.28347902984235107,0,4,,,,,,,,,,,,,11_286,1,11
111,5,102,1.392156862745098,0,0.9663328941307806,87,10,9.333333333333334,56.0,6.0,6.186005711819758,4.676180777800049,26.0,6.0,4.333333333333333,6.0,96.53065143604216,611.0,101.83333333333333,11_290,1,11
112,54,134,3.283582089552239,15,0.781476723358083,4,61,10.785714285714286,302.0,28.0,8.372605872757244,5.561940775051923,147.0,28.0,5.25,28.0,199.74722120958873,6980.0,249.28571428571428,11_291,1,11
113,0,42,3.761904761904762,2,0.7589956074786555,2,38,9.263157894736842,176.0,19.0,6.556100681071857,5.195026861679084,36.0,19.0,1.894736842105263,19.0,137.7404330637333,1724.0,90.73684210526316,11_293,0,11
114,1,34,3.5,5,0.9613752775282003,2,26,8.11111111111111,146.0,18.0,7.790559059368997,1.3491706481792791,19.0,18.0,1.0555555555555556,18.0,79.18797442868231,903.0,50.166666666666664,11_294,1,11
115,6,22,3.727272727272727,0,0.45584230583855173,0,16,,,,,,,,,,,,,11_296,1,11
116,15,30,3.3666666666666667,2,0.614947899858378,0,13,26.0,26.0,1.0,,,3.0,1.0,3.0,1.0,,292.0,292.0,11_297,1,11
117,82,89,3.0112359550561796,3,0.2818115917381644,0,4,4.777777777777778,43.0,9.0,2.6822461565718467,3.244653722321964,41.0,9.0,4.555555555555555,9.0,26.058161442775997,292.0,32.44444444444444,11_298,1,11
118,63,121,2.355371900826446,32,0.8150613896330283,24,2,4.857142857142857,68.0,14.0,3.613162749578969,2.20887321481358,22.0,14.0,1.5714285714285714,14.0,19.119778609229083,459.0,32.785714285714285,11_303,1,11
119,16,28,3.2142857142857144,3,0.6299407883487121,0,9,10.909090909090908,120.0,11.0,8.348108114471751,2.9695423583747407,25.0,11.0,2.272727272727273,11.0,82.07690407062258,1053.0,95.72727272727273,11_304,1,11
120,27,122,2.2131147540983607,85,0.5782491126750166,7,3,5.0,20.0,4.0,3.559026084010437,1.4142135623730951,8.0,4.0,2.0,4.0,108.65963678692593,319.0,79.75,11_305,1,11
121,15,48,3.4166666666666665,5,0.7672369140425295,1,27,7.294117647058823,248.0,34.0,4.359103409096221,2.4755488777217276,48.0,34.0,1.411764705882353,34.0,68.58693430918359,3158.0,92.88235294117646,11_307,1,11
122,78,123,2.7560975609756095,33,0.6185846273740645,3,9,3.5405405405405403,131.0,37.0,2.986958640812076,2.0349793957534654,53.0,37.0,1.4324324324324325,37.0,22.471570293850654,889.0,24.027027027027028,11_308,1,11
123,15,45,3.577777777777778,2,0.5834415484039854,0,28,6.8,34.0,5.0,4.658325879540846,0.7071067811865476,5.0,5.0,1.0,5.0,16.59819267269783,145.0,29.0,11_309,1,11
124,0,45,4.0,0,0.0,0,45,7.564102564102564,295.0,39.0,6.302860135203749,1.2741592449048578,21.0,39.0,0.5384615384615384,39.0,232.50937032182034,6273.0,160.84615384615384,11_31,0,11
125,0,86,2.0,86,0.0,0,0,3.3333333333333335,10.0,3.0,1.5275252316519465,2.0,6.0,3.0,2.0,3.0,26.312227829154512,116.0,38.666666666666664,11_310,1,11
126,4,8,2.5,4,0.5345224838248488,0,0,8.0,8.0,1.0,,,1.0,1.0,1.0,1.0,,38.0,38.0,11_311,0,11
127,56,97,2.8969072164948453,24,0.6690250381848305,1,16,11.454545454545455,126.0,11.0,6.105139414683933,2.4531982835029496,30.0,11.0,2.727272727272727,11.0,98.80393808861153,1224.0,111.27272727272727,11_312,1,11
128,4,5,3.2,0,0.4472135954999579,0,1,,,,,,,,,,,,,11_325,1,11
129,0,39,4.0,0,0.0,0,39,13.263157894736842,252.0,19.0,7.132415090923955,1.5004872502970803,22.0,19.0,1.1578947368421053,19.0,141.54209177022238,3134.0,164.94736842105263,11_326,1,11
130,6,99,3.3333333333333335,3,1.1780301787479028,18,72,,,,,,,,,,,,,11_328,1,11
131,1,163,3.9938650306748467,0,0.07832604499879571,0,162,5.513513513513513,204.0,37.0,3.761069747511424,0.8025859107560663,20.0,37.0,0.5405405405405406,37.0,23.34002478055147,1795.0,48.513513513513516,11_33,1,11
132,7,9,2.7777777777777777,2,0.4409585518440984,0,0,2.0,2.0,1.0,,,3.0,1.0,3.0,1.0,,70.0,70.0,11_331,1,11
133,0,45,4.0,0,0.0,0,45,6.655172413793103,193.0,29.0,2.729152956884052,1.0907131485472212,22.0,29.0,0.7586206896551724,29.0,44.66732531436057,2471.0,85.20689655172414,11_334,0,11
134,38,55,2.8363636363636364,10,0.6313898943229916,2,5,4.0,52.0,13.0,3.1622776601683795,1.0377490433255416,12.0,13.0,0.9230769230769231,13.0,27.244147807255594,623.0,47.92307692307692,11_335,1,11
135,31,261,2.3409961685823757,48,1.2749831688122355,102,80,6.023809523809524,253.0,42.0,4.3922775648558865,2.147845529389502,78.0,42.0,1.8571428571428572,42.0,65.42611156359646,2446.0,58.23809523809524,11_34,1,11
136,2,121,3.9338842975206614,3,0.3350506725378181,0,116,5.0,5.0,1.0,,,0.0,1.0,0.0,1.0,,17.0,17.0,11_340,1,11
