uid,votes_3,votes_num,votes_mean,votes_2,votes_std,votes_1,votes_4,likes_mean,likes_sum,likes_num,likes_std,dislikes_std,dislikes_sum,dislikes_num,dislikes_mean,com_num,com_std,com_sum,com_mean
11_152,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_158,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_159,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_163,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_164,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_169,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_170,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_172,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_175,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_178,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_18,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
