,E_votes_2,E_votes_num,E_votes_3,E_votes_1,E_votes_mean,E_votes_4,E_votes_std,E_likes_num,E_likes_mean,E_likes_std,E_likes_sum,E_dislikes_num,E_dislikes_std,E_dislikes_sum,E_dislikes_mean,E_com_std,E_com_num,E_com_mean,E_com_sum,E_companyAlias,E_employee,E_first_date,E_lastParticipationDate,E_stillExists,E_churn,E_comp_short,E_uid
28,1,16,3,3,3.125,9,1.2041594578792296,12.0,0.3333333333333333,0.6513389472789296,4.0,12.0,0.2886751345948128,1.0,0.08333333333333333,40.55850618849792,12,50.083333333333336,601,54d43612e4b0f6a40755d93e,19,2016-07-26 00:00:00,2017-03-16 17:26:37,True,0,3,3_19
29,0,155,2,68,2.670967741935484,85,1.4863433620337343,1.0,5.0,,5.0,1.0,,6.0,6.0,,1,13.0,13,54e52607e4b01191dc064966,4,2016-04-07 00:00:00,2017-03-18 00:00:00,True,0,4,4_4
30,101,264,94,63,2.162878787878788,6,0.8133772529361524,33.0,11.515151515151516,6.558016144961505,380.0,33.0,1.922257984136302,38.0,1.1515151515151516,55.099204608459175,33,80.87878787878788,2669,54e52607e4b01191dc064966,19,2015-02-26 00:00:00,2017-03-19 00:00:00,True,0,4,4_19
31,79,93,3,10,1.946236559139785,1,0.426451266338775,5.0,8.6,4.560701700396552,43.0,5.0,2.0736441353327724,8.0,1.6,49.95998398718719,5,103.0,515,54e52607e4b01191dc064966,21,2015-07-30 00:00:00,2017-03-14 09:27:46,True,0,4,4_21
32,2,12,6,4,2.1666666666666665,0,0.9374368665610922,2.0,12.0,12.727922061357855,24.0,2.0,0.7071067811865476,1.0,0.5,195.16147160748713,2,149.0,298,54e52607e4b01191dc064966,22,2015-02-24 00:00:00,2017-03-13 00:00:00,True,0,4,4_22
33,1,164,128,29,2.676829268292683,6,0.8059287642998241,4.0,9.0,14.071247279470288,36.0,4.0,0.9574271077563381,3.0,0.75,40.783983784487425,4,51.0,204,54e52607e4b01191dc064966,24,2015-05-22 00:00:00,2017-03-20 00:00:00,True,0,4,4_24
34,16,292,84,21,3.386986301369863,171,0.8837411649046909,13.0,9.307692307692308,6.395110311592435,121.0,13.0,1.5566235649883124,18.0,1.3846153846153846,148.79731525011138,13,200.84615384615384,2611,54e52607e4b01191dc064966,28,2015-02-24 00:00:00,2017-03-16 00:00:00,False,1,4,4_28
35,8,101,49,0,3.3564356435643563,44,0.625845962131922,5.0,12.4,10.807404868885037,62.0,5.0,1.8708286933869707,10.0,2.0,130.80214065526604,5,210.2,1051,54e52607e4b01191dc064966,31,2015-06-26 00:00:00,2017-03-20 00:00:00,True,0,4,4_31
36,113,654,249,44,3.0718654434250765,248,0.9039832935606642,334.0,9.817365269461078,6.276381984481706,3279.0,334.0,3.178318186858586,586.0,1.7544910179640718,144.2787582170275,334,166.1556886227545,55496,54e52607e4b01191dc064966,38,2015-02-24 00:00:00,2017-02-01 00:00:00,False,1,4,4_38
37,11,390,147,4,3.5358974358974358,228,0.606302451731324,92.0,8.0,6.792044473637384,736.0,92.0,3.29985376617894,135.0,1.4673913043478262,190.3026216126361,92,178.0108695652174,16377,54e52607e4b01191dc064966,44,2015-02-24 00:00:00,2017-03-18 12:56:42,True,0,4,4_44
