,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
4_194,0.7393939393939394,0.21065573770491802,0.8163265306122449,0.20764762826718297,0.28287680958151595,0.5599630220811334,0.3701920437259901,0.5370629246028299,1.6290749873218446,0.34123304324753084,1.2722599515494566,0.0,0.7393939393939394,0.7385990139024092,0.8163265306122449,0.7774488171497702,0.28287680958151595,0.00013448380129490016,0.3701920437259901,0.0007691002929359942,0.6108461621935282,0.40405376826048073,0.5595051091572415,0.0
4_204,0.5515151515151515,0.10901639344262296,0.6326530612244898,0.10648596321393998,0.1294011790659766,0.47886954471991816,0.24515322648249335,0.6462149859297979,2.088081711381017,0.23754695106676835,0.36913593188429916,0.031883546375260884,0.5515151515151515,0.5359303110972781,0.6326530612244898,0.5724615719889744,0.1294011790659766,0.013560724516561876,0.24515322648249335,0.0022362203174051197,0.7625856596978601,0.3874421059710178,0.2719785011650438,0.0
4_205,0.806060606060606,0.32131147540983607,0.8367346938775511,0.3015488867376573,0.3518647774219457,0.3971036184493559,0.39991800138937733,0.42679424524650394,3.138527025755092,1.414534705894869,5.08488078527284,1.58380550067076,0.806060606060606,0.7451726333399756,0.8367346938775511,0.7716883960140826,0.3518647774219457,0.2978484805643016,0.39991800138937733,6.380931226083759e-05,0.5617443600041818,0.579004686613688,0.7231199481984769,0.9303079066290835
4_208,0.9151515151515152,0.6360655737704918,0.9897959183673469,0.6311713455953534,0.5857187948192637,0.5321049496625576,0.8198790130580565,0.5742306625639886,3.2001468477906885,0.5110069050034463,6.235879333009744,1.9263021749707847,0.9151515151515152,0.7296344003644367,0.9897959183673469,0.7587886437413052,0.5857187948192637,0.11600161639815197,0.8198790130580565,0.010268184322811312,0.38675272803339794,0.6447694098255844,0.6340353216557884,0.3097973588483191
4_209,0.5454545454545454,0.14672131147540984,0.6632653061224489,0.19167473378509198,0.10270951986859846,0.2002485290361376,0.20806293848512572,0.34854567735910924,1.7937954814829082,2.7707396192612905,0.0,0.25930661128259563,0.5454545454545454,0.5211999713128386,0.6632653061224489,0.5911935891483867,0.10270951986859846,5.286578790476472e-05,0.20806293848512572,2.1869328595586928e-05,0.7279814358070706,0.4594317571616329,0.0,0.5579745631397899
4_219,0.9636363636363636,0.5379781420765027,1.0,0.4298160696999032,0.8229799989723844,1.0,0.8716960402368297,1.0,8.399623911045996,0.06129817739360706,7.310830366367947,0.4301585278680255,0.9636363636363636,0.910822017737737,1.0,0.9460875701591165,0.8229799989723844,0.001057240161852488,0.8716960402368297,0.0016156140323014233,0.38924123562502694,0.3145568735848104,0.8016128909900182,0.08037179297566087
4_237,0.11515151515151516,0.018032786885245903,0.16326530612244897,0.026137463697967087,0.00041996238897959367,0.033708577795406154,0.001056932461688794,0.033624371907410036,0.14021721276809385,0.06600693313202366,0.041654046387636846,0.22347822494601308,0.11515151515151516,0.10310074658218214,0.16326530612244897,0.1575791817094991,0.00041996238897959367,6.558715713058502e-08,0.001056932461688794,6.348113337306395e-11,0.11158037899757181,0.4971997000406168,0.1528458560509452,0.09055777195940823
4_24,0.20606060606060606,0.010655737704918032,0.3163265306122449,0.016940948693126814,0.001819052692850917,0.24807781148405783,0.004540092918525582,0.30109967188036685,0.09643028562604686,3.4650967699696946,0.01899111279193527,1.2932982846432965,0.20606060606060606,0.22032651941588408,0.3163265306122449,0.32754449997258334,0.001819052692850917,0.00018761369977367167,0.004540092918525582,2.092444529518057e-06,0.32193499024031896,0.3426420671195663,0.0,0.4315040708853787
4_269,0.01818181818181818,0.001092896174863388,0.030612244897959183,0.001936108422071636,0.0,0.0,0.0,0.0007490955903723775,0.006670681941714484,0.009013841159410625,0.030828676182031327,0.025882646604831857,0.01818181818181818,0.01776826769482936,0.030612244897959183,0.029245044640409223,0.0,0.0,0.0,0.0,0.09128866795459986,0.0730155815887379,0.0,0.0
4_27,0.06060606060606061,0.003825136612021858,0.10204081632653061,0.006776379477250726,0.0,0.0,0.0001809122027268636,0.02110061214537197,0.10771841828013529,0.20351625101459767,0.023460075281595112,1.4316506179984618,0.06060606060606061,0.06396576370138571,0.10204081632653061,0.10528216070547321,0.0,0.0,0.0001809122027268636,0.0,0.35382202829098575,0.5824830306947448,0.0,0.523751783313162
