uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
17_136,6,85,3.8823529411764706,2,0.39071865123867583,0,77,2.588235294117647,44.0,17.0,2.8075528385368758,0.7859052479933754,6.0,17.0,0.35294117647058826,17.0,34.46513583660007,658.0,38.705882352941174,17
17_140,7,82,3.9146341463414633,0,0.28114490408192955,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
17_147,52,95,3.2526315789473683,2,0.7433166195266333,5,36,4.333333333333333,13.0,3.0,1.5275252316519465,0.0,0.0,3.0,0.0,3.0,24.027761721253466,112.0,37.333333333333336,17
17_15,16,90,3.522222222222222,12,0.7677162657317893,1,61,4.045454545454546,89.0,22.0,2.967719546614758,2.294827611441383,25.0,22.0,1.1363636363636365,22.0,23.964259101539408,858.0,39.0,17
17_19,62,80,3.15,3,0.4528391448839652,0,15,4.130434782608695,95.0,23.0,3.2933037822787528,1.2776584313476258,18.0,23.0,0.782608695652174,23.0,54.24476077139842,1649.0,71.69565217391305,17
17_2,46,75,2.9466666666666668,15,0.6554002971845148,1,13,3.75,45.0,12.0,3.840572873934304,1.5050420310248864,11.0,12.0,0.9166666666666666,12.0,33.13459695169861,565.0,47.083333333333336,17
17_22,41,54,3.0185185185185186,6,0.494907681146839,0,7,6.0,12.0,2.0,5.656854249492381,0.7071067811865476,3.0,2.0,1.5,2.0,30.405591591021544,95.0,47.5,17
17_26,4,41,3.8536585365853657,1,0.42195826865675357,0,36,5.142857142857143,36.0,7.0,2.6095064302514777,0.9511897312113418,5.0,7.0,0.7142857142857143,7.0,62.52390019215128,338.0,48.285714285714285,17
17_3,6,40,3.8,1,0.4640954808922571,0,33,2.588235294117647,44.0,17.0,1.9383892646154617,0.8617697249402121,6.0,17.0,0.35294117647058826,17.0,12.770888310344512,379.0,22.294117647058822,17
17_34,16,113,3.15929203539823,14,1.138344440729417,17,66,5.514285714285714,193.0,35.0,2.7904398617151274,1.834313463493342,49.0,35.0,1.4,35.0,48.74590265048011,1844.0,52.68571428571428,17
17_36,3,55,3.8,4,0.5577733510227171,0,48,3.03125,97.0,32.0,3.010566070445246,0.9503819266229829,16.0,32.0,0.5,32.0,22.21014008466955,816.0,25.5,17
